# perft_suite_960_xfen.txt - the same 960 start positions written in X-FEN.
#
# X-FEN writes Chess960 castling as plain KQkq, where K means the OUTERMOST rook on the
# king's side rather than the rook on h1. THIS IS WHAT LICHESS SENDS: a live 960 game gives
# [FEN "rbnqbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBNKR w KQkq - 0 1"], king on g1.
#
# Before fen2board() learned to infer the rook files from the board, 124 of these 3840 runs
# failed while the identical positions in Shredder notation all passed -- so a FEN from a
# real lichess 960 game could not be read at all. Same expected counts as
# perft_suite_960.txt, because they are the same positions.
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201143
bbnnrkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKRQ w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10196 ;D4 234097
bnnbrkrq/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKRQ w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10076 ;D4 228824
bnnrkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196158
bnnrkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKRQB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8872 ;D4 195929
nbbnrkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8914 ;D4 197747
nnbbrkrq/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8800 ;D4 192922
nnbrkbrq/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBRQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7636 ;D4 160740
nnbrkrqb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKRQB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7630 ;D4 160541
nbnrbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195322
nnrbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8842 ;D4 194865
nnrkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBRQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8840 ;D4 194449
nnrkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBRQB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8834 ;D4 194048
nbnrkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBNRKRBQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7721 ;D4 164206
nnrbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NNRBKRBQ w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7670 ;D4 162006
nnrkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NNRKRBBQ w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8832 ;D4 194117
nnrkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKRQBB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8832 ;D4 194179
bbqnrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9066 ;D4 203888
bqnbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9048 ;D4 202945
bqnrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNRNBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8986 ;D4 200007
bqnrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRNKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10280 ;D4 237967
qbbnrnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9026 ;D4 201178
qnbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8998 ;D4 200829
qnbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBRNBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8934 ;D4 197921
qnbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRNKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10219 ;D4 234968
qbnrbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9008 ;D4 200430
qnrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9000 ;D4 200999
qnrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNRNBBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8938 ;D4 198120
qnrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNRNBKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10179 ;D4 233200
qbnrnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRNKBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8984 ;D4 200053
qnrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBNKBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8972 ;D4 199595
qnrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRNKBBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9016 ;D4 202367
qnrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRNKRBB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8972 ;D4 200305
bbnqrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9048 ;D4 203096
bnqbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8998 ;D4 201737
bnqrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQRNBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8934 ;D4 198785
bnqrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRNKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10219 ;D4 235170
nbbqrnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRNKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7839 ;D4 168921
nqbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRNKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7858 ;D4 169611
nqbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBRNBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 166960
nqbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRNKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8976 ;D4 200447
nbqrbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBNKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 167294
nqrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBNKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168094
nqrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQRNBBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167105
nqrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQRNBKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198773
nbqrnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRNKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7818 ;D4 168395
nqrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBNKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 167806
nqrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRNKBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7875 ;D4 170920
nqrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRNKRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7835 ;D4 169109
bbnrqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9048 ;D4 203183
bnrbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQNKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9000 ;D4 201942
bnrqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRQNBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198906
bnrqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQNKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10221 ;D4 235513
nbbrqnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQNKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7839 ;D4 168986
nrbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQNKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7870 ;D4 171187
nrbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBQNBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7811 ;D4 168423
nrbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQNKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8982 ;D4 201032
nbrqbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBNKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167412
nrqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBNKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7832 ;D4 169493
nrqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRQNBBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7811 ;D4 168448
nrqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRQNBKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8940 ;D4 199038
nbrqnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQNKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7820 ;D4 168690
nrqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBNKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167928
nrqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQNKBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7841 ;D4 169599
nrqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQNKRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 167881
bbnrnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNQKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8986 ;D4 200154
bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198902
bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8938 ;D4 199052
bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10179 ;D4 233410
nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7820 ;D4 167920
nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7811 ;D4 168424
nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7811 ;D4 168494
nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8940 ;D4 199044
nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166428
nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7756 ;D4 166115
nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7794 ;D4 167750
nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8924 ;D4 198550
nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7820 ;D4 168571
nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 165640
nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166964
nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7746 ;D4 165316
bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8984 ;D4 200232
bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8932 ;D4 197999
bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8976 ;D4 200636
bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198773
