# perft_suite_960.txt - reference node counts for ./perft, Chess960
#
#   ./perft -d 4 -f perft_suite_960.txt                  counts only (3840 runs)
#   ./perft --check --nobulk --make all -d 3 -f perft_suite_960.txt
#                                                        counts + reconcile() + all make modes
#
# NOTE: give this file with -f. A positional argument containing '/' is parsed as a FEN.
#
# All 960 Chess960 start positions in Scharnagl (SP) order, SP-0 first; SP-518 is the standard
# array. Castling is written Shredder-style (rook FILES, e.g. HAha), which is what fen2board()
# understands -- it does NOT infer 960 rook files from a plain KQkq.
#
# Counts generated against Stockfish with 'setoption name UCI_Chess960 value true', as the note
# in perft_suite.txt requires: a recalled number would be indistinguishable from a generator bug.
#
# This suite found a real defect. undo_move() restored the castling rook to its source BEFORE
# clearing its destination, and in Chess960 those can be the SAME square (castling queenside with
# the rook already on d1/d8), so the rook was written and immediately erased from the mailbox.
# The bitboards survived, because the two XORs of one bit cancel -- so every count-based test
# passed with the bug present, in all three make modes, to depth 4. Only reconcile() saw it.
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201143
qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8872 ;D4 195123
qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8954 ;D4 199619
qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w FDfd - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197638
bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8988 ;D4 200337
bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198985
bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198849
bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w GEge - 0 1 ;D1 21 ;D2 441 ;D3 10177 ;D4 233197
nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w HFhf - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168109
nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w HFhf - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167148
nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 166982
nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8934 ;D4 198597
nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w HFhf - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166501
nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w HFhf - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 164828
nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166263
nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8918 ;D4 197945
nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7818 ;D4 168386
nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7742 ;D4 165317
nqnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQNRKBBR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7816 ;D4 168386
nqnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQNRKRBB w FDfd - 0 1 ;D1 19 ;D2 361 ;D3 7778 ;D4 166662
bbnnqrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNQRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8950 ;D4 198720
bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8840 ;D4 194817
bnnqrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNQRBKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196301
bnnqrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNQRKRB w GEge - 0 1 ;D1 21 ;D2 441 ;D3 10118 ;D4 230734
nbbnqrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNQRKR w HFhf - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166553
nnbbqrkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBQRKR w HFhf - 0 1 ;D1 19 ;D2 361 ;D3 7680 ;D4 163033
nnbqrbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBQRBKR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7678 ;D4 162755
nnbqrkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBQRKRB w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8800 ;D4 192910
nbnqbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBNQBRKR w HFhf - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164162
nnqbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NNQBBRKR w HFhf - 0 1 ;D1 19 ;D2 361 ;D3 7718 ;D4 164609
nnqrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNQRBBKR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7716 ;D4 164390
nnqrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNQRBKRB w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8840 ;D4 194520
nbnqrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNQRKBR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7723 ;D4 164565
nnqbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NNQBRKBR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163874
nnqrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNQRKBBR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7708 ;D4 163923
nnqrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNQRKRBB w FDfd - 0 1 ;D1 19 ;D2 361 ;D3 7668 ;D4 162138
bbnnrqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRQKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8948 ;D4 198454
bnnbrqkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRQKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8838 ;D4 194525
bnnrqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNRQBKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196384
bnnrqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRQKRB w GDgd - 0 1 ;D1 21 ;D2 441 ;D3 10118 ;D4 230600
nbbnrqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRQKR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7782 ;D4 166301
nnbbrqkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRQKR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7678 ;D4 162755
nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7678 ;D4 162816
nnbrqkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRQKRB w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8800 ;D4 192766
nbnrbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBQKR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7727 ;D4 163964
nnrbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBQKR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7718 ;D4 164522
nnrqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNRQBBKR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7718 ;D4 164522
nnrqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNRQBKRB w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8842 ;D4 194855
nbnrqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRQKBR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7723 ;D4 164453
nnrbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBQKBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7712 ;D4 164064
nnrqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRQKBBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163798
nnrqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRQKRBB w FCfc - 0 1 ;D1 19 ;D2 361 ;D3 7670 ;D4 161998
bbnnrkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKQR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8946 ;D4 198468
bnnbrkqr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKQR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8832 ;D4 193554
bnnrkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBQR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8914 ;D4 197903
bnnrkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKQRB w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196163
nbbnrkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKQR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7780 ;D4 166749
nnbbrkqr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKQR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7672 ;D4 162265
nnbrkbqr/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBQR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7670 ;D4 162310
nnbrkqrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKQRB w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7636 ;D4 160747
nbnrbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKQR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7723 ;D4 164452
nnrbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKQR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7712 ;D4 164068
nnrkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBQR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8876 ;D4 196075
nnrkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBQRB w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8840 ;D4 194517
nbnrkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRKQBR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7759 ;D4 165931
nnrbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBKQBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163799
nnrkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRKQBBR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8876 ;D4 196079
nnrkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKQRBB w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8834 ;D4 194052
bbnnrkrq/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKRQ w GEge - 0 1 ;D1 21 ;D2 441 ;D3 10196 ;D4 234097
bnnbrkrq/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKRQ w GEge - 0 1 ;D1 21 ;D2 441 ;D3 10076 ;D4 228824
bnnrkbrq/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBRQ w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196158
bnnrkrqb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKRQB w FDfd - 0 1 ;D1 20 ;D2 400 ;D3 8872 ;D4 195929
nbbnrkrq/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKRQ w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8914 ;D4 197747
nnbbrkrq/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKRQ w GEge - 0 1 ;D1 20 ;D2 400 ;D3 8800 ;D4 192922
nnbrkbrq/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBRQ w GDgd - 0 1 ;D1 19 ;D2 361 ;D3 7636 ;D4 160740
nnbrkrqb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKRQB w FDfd - 0 1 ;D1 19 ;D2 361 ;D3 7630 ;D4 160541
nbnrbkrq/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKRQ w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8858 ;D4 195322
nnrbbkrq/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKRQ w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8842 ;D4 194865
nnrkbbrq/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBRQ w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8840 ;D4 194449
nnrkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBRQB w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8834 ;D4 194048
nbnrkrbq/pppppppp/8/8/8/8/PPPPPPPP/NBNRKRBQ w FDfd - 0 1 ;D1 19 ;D2 361 ;D3 7721 ;D4 164206
nnrbkrbq/pppppppp/8/8/8/8/PPPPPPPP/NNRBKRBQ w FCfc - 0 1 ;D1 19 ;D2 361 ;D3 7670 ;D4 162006
nnrkrbbq/pppppppp/8/8/8/8/PPPPPPPP/NNRKRBBQ w ECec - 0 1 ;D1 20 ;D2 400 ;D3 8832 ;D4 194117
nnrkrqbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKRQBB w ECec - 0 1 ;D1 20 ;D2 400 ;D3 8832 ;D4 194179
bbqnrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNRNKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 9066 ;D4 203888
bqnbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBRNKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 9048 ;D4 202945
bqnrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNRNBKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8986 ;D4 200007
bqnrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNRNKRB w GDgd - 0 1 ;D1 21 ;D2 441 ;D3 10280 ;D4 237967
qbbnrnkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNRNKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 9026 ;D4 201178
qnbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRNKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8998 ;D4 200829
qnbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBRNBKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8934 ;D4 197921
qnbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBRNKRB w GDgd - 0 1 ;D1 21 ;D2 441 ;D3 10219 ;D4 234968
qbnrbnkr/pppppppp/8/8/8/8/PPPPPPPP/QBNRBNKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 9008 ;D4 200430
qnrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/QNRBBNKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9000 ;D4 200999
qnrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNRNBBKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8938 ;D4 198120
qnrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNRNBKRB w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10179 ;D4 233200
qbnrnkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNRNKBR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8984 ;D4 200053
qnrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/QNRBNKBR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8972 ;D4 199595
qnrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNRNKBBR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9016 ;D4 202367
qnrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNRNKRBB w FCfc - 0 1 ;D1 20 ;D2 400 ;D3 8972 ;D4 200305
bbnqrnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQRNKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 9048 ;D4 203096
bnqbrnkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBRNKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8998 ;D4 201737
bnqrnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQRNBKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8934 ;D4 198785
bnqrnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQRNKRB w GDgd - 0 1 ;D1 21 ;D2 441 ;D3 10219 ;D4 235170
nbbqrnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQRNKR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7839 ;D4 168921
nqbbrnkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBRNKR w HEhe - 0 1 ;D1 19 ;D2 361 ;D3 7858 ;D4 169611
nqbrnbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBRNBKR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 166960
nqbrnkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBRNKRB w GDgd - 0 1 ;D1 20 ;D2 400 ;D3 8976 ;D4 200447
nbqrbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBQRBNKR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 167294
nqrbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NQRBBNKR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168094
nqrnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQRNBBKR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167105
nqrnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQRNBKRB w GCgc - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198773
nbqrnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQRNKBR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7818 ;D4 168395
nqrbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NQRBNKBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 167806
nqrnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQRNKBBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7875 ;D4 170920
nqrnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQRNKRBB w FCfc - 0 1 ;D1 19 ;D2 361 ;D3 7835 ;D4 169109
bbnrqnkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRQNKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 9048 ;D4 203183
bnrbqnkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBQNKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 9000 ;D4 201942
bnrqnbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRQNBKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198906
bnrqnkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRQNKRB w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10221 ;D4 235513
nbbrqnkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRQNKR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7839 ;D4 168986
nrbbqnkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBQNKR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7870 ;D4 171187
nrbqnbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBQNBKR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7811 ;D4 168423
nrbqnkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBQNKRB w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8982 ;D4 201032
nbrqbnkr/pppppppp/8/8/8/8/PPPPPPPP/NBRQBNKR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167412
nrqbbnkr/pppppppp/8/8/8/8/PPPPPPPP/NRQBBNKR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7832 ;D4 169493
nrqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRQNBBKR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7811 ;D4 168448
nrqnbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRQNBKRB w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8940 ;D4 199038
nbrqnkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRQNKBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7820 ;D4 168690
nrqbnkbr/pppppppp/8/8/8/8/PPPPPPPP/NRQBNKBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7805 ;D4 167928
nrqnkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRQNKBBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7841 ;D4 169599
nrqnkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRQNKRBB w FBfb - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 167881
bbnrnqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNQKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8986 ;D4 200154
bnrbnqkr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNQKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198902
bnrnqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNRNQBKR w HChc - 0 1 ;D1 20 ;D2 400 ;D3 8938 ;D4 199052
bnrnqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNQKRB w GCgc - 0 1 ;D1 21 ;D2 441 ;D3 10179 ;D4 233410
nbbrnqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNQKR w HDhd - 0 1 ;D1 19 ;D2 361 ;D3 7820 ;D4 167920
nrbbnqkr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNQKR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7811 ;D4 168424
nrbnqbkr/pppppppp/8/8/8/8/PPPPPPPP/NRBNQBKR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7811 ;D4 168494
nrbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNQKRB w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8940 ;D4 199044
nbrnbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBQKR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166428
nrnbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBQKR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7756 ;D4 166115
nrnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NRNQBBKR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7794 ;D4 167750
nrnqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NRNQBKRB w GBgb - 0 1 ;D1 20 ;D2 400 ;D3 8924 ;D4 198550
nbrnqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNQKBR w HChc - 0 1 ;D1 19 ;D2 361 ;D3 7820 ;D4 168571
nrnbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBQKBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 165640
nrnqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNQKBBR w HBhb - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166964
